time_h,length_um,length_um_std,Energy_MeV,Energy_MeV_std,particle_name
0.238967527,1.117496807,0.4,2.87,0.13,7Li
0.291423813,2.637292465,0.4,2.87,0.13,7Li
0.326394671,2.994891443,0.4,2.87,0.13,7Li
0.402164863,4.246487867,0.4,2.87,0.13,7Li
0.442964197,4.961685824,0.4,2.87,0.13,7Li
0.565362198,5.140485313,0.4,2.87,0.13,7Li
0.670274771,6.034482759,0.4,2.87,0.13,7Li
0.833472107,5.989782886,0.4,2.87,0.13,7Li
0.996669442,5.855683269,0.4,2.87,0.13,7Li
,,,,,
0.320566195,1.832694764,0.5,4.82,0.16,7Li
0.48376353,3.039591315,0.5,4.82,0.16,7Li
0.664446295,4.604086845,0.5,4.82,0.16,7Li
0.821815154,6.883780332,0.5,4.82,0.16,7Li
0.996669442,9.38697318,0.5,4.82,0.16,7Li
1.142381349,9.878671775,0.5,4.82,0.16,7Li
1.311407161,9.878671775,0.5,4.82,0.16,7Li
1.486261449,10.05747126,0.5,4.82,0.16,7Li
,,,, ,
0.501248959,2.190293742,0.7,6.75,0.17,7Li
0.658617818,2.905491699,0.7,6.75,0.17,7Li
0.821815154,3.7100894,0.7,6.75,0.17,7Li
0.996669442,4.559386973,0.7,6.75,0.17,7Li
1.165695254,5.67688378,0.7,6.75,0.17,7Li
1.32889259,8.090676884,0.7,6.75,0.17,7Li
1.503746878,11.9348659,0.7,6.75,0.17,7Li
1.661115737,13.94636015,0.7,6.75,0.17,7Li
1.830141549,14.66155811,0.7,6.75,0.17,7Li
2.004995837,14.61685824,0.7,6.75,0.17,7Li
2.24979184,14.70625798,0.7,6.75,0.17,7Li
2.506244796,14.75095785,0.7,6.75,0.17,7Li
,,,,,
0.664446295,2.14559387,0.7,7.99,0.18,7Li
1.142381349,4.380587484,0.7,7.99,0.18,7Li
1.323064113,5.721583653,0.7,7.99,0.18,7Li
1.492089925,7.330779055,0.7,7.99,0.18,7Li
1.666944213,9.297573436,0.7,7.99,0.18,7Li
1.835970025,10.99616858,0.7,7.99,0.18,7Li
2.004995837,14.57215837,0.7,7.99,0.18,7Li
2.261448793,17.47765006,0.7,7.99,0.18,7Li
2.506244796,17.56704981,0.7,7.99,0.18,7Li
3.001665279,17.70114943,0.7,7.99,0.18,7Li
3.502914238,17.7458493,0.7,7.99,0.18,7Li
,,,,,
0.990840966,3.441890166,0.9,9.02,0.17,7Li
1.480432973,6.079182631,0.9,9.02,0.17,7Li
1.999167361,8.850574713,0.9,9.02,0.17,7Li
2.238134888,11.35376756,0.9,9.02,0.17,7Li
2.50041632,14.39335888,0.9,9.02,0.17,7Li
2.739383847,19.04214559,0.9,9.02,0.17,7Li
3.007493755,20.78544061,0.9,9.02,0.17,7Li
3.491257286,21.36653895,0.9,9.02,0.17,7Li
4.004163197,20.9642401,0.9,9.02,0.17,7Li
,,,,,
1.497918401,4.827586207,0.8,10.96,0.11,7Li
1.835970025,5.632183908,0.8,10.96,0.11,7Li
2.15653622,8.001277139,0.8,10.96,0.11,7Li
2.488759367,9.208173691,1,10.96,0.11,7Li
2.815154038,11.17496807,1,10.96,0.11,7Li
3.159034138,13.27586207,1,10.96,0.11,7Li
3.508742714,14.97445722,1,10.96,0.11,7Li
3.835137386,17.83524904,1.2,10.96,0.11,7Li
4.173189009,21.05363985,1.2,10.96,0.11,7Li
4.307243963,23.73563218,1.2,10.96,0.11,7Li
4.49958368,26.95402299,1.4,10.96,0.11,7Li
4.621981682,26.50702427,1.4,10.96,0.11,7Li
4.825978351,26.7752235,1.4,10.96,0.11,7Li
5.14071607,27.31162197,1.4,10.96,0.11,7Li
5.496253122,27.5798212,1.4,10.96,0.11,7Li
5.641965029,26.55172414,1.4,10.96,0.11,7Li
,,,,,
0.885928393,2.592592593,0.8,11.99,0.1,7Li
1.393005828,5.095785441,0.8,11.99,0.1,7Li
1.888426311,6.928480204,0.8,11.99,0.1,7Li
2.395503747,8.224776501,1,11.99,0.1,7Li
2.89092423,11.08556833,1,11.99,0.1,7Li
3.409658618,13.72286079,1.2,11.99,0.1,7Li
3.899250624,17.70114943,1.2,11.99,0.1,7Li
4.388842631,22.30523627,1.2,11.99,0.1,7Li
4.89009159,29.14431673,1.4,11.99,0.1,7Li
5.397169026,29.45721584,1.4,11.99,0.1,7Li
5.898417985,29.50191571,1.4,11.99,0.1,7Li
6.388009992,29.77011494,1.4,11.99,0.1,7Li
,,,,,
0.249085923,2.760814249,0.8,13.3,0.1,11B
0.500457038,6.011450382,0.8,13.3,0.1,11B
0.662705667,9.707379135,1,13.3,0.1,11B
0.74725777,12.42366412,1,13.3,0.1,11B
0.824954296,15.98600509,0.8,13.3,0.1,11B
0.996343693,18.03435115,0.8,13.3,0.1,11B
1.25,18.03435115,0.8,13.3,0.1,11B
1.499085923,18.61323155,0.8,13.3,0.1,11B
2.006398537,18.25699746,0.8,13.3,0.1,11B
,,,,,
0.498171846,4.631043257,1,17.5,0.08,11B
0.740402194,7.391857506,1,17.5,0.08,11B
1.005484461,10.82061069,1,17.5,0.08,11B
1.154021938,15.22900763,1,17.5,0.08,11B
1.25,20.12722646,1,17.5,0.08,11B
1.327696527,23.28880407,1,17.5,0.08,11B
1.499085923,24.09033079,1,17.5,0.08,11B
1.745886654,24.62468193,1,17.5,0.08,11B
1.994972578,24.89185751,1,17.5,0.08,11B
2.504570384,24.09033079,1,17.5,0.08,11B
,,,,,
0.498171846,4.497455471,0.7,19.5,0.07,11B
0.744972578,6.857506361,0.7,19.5,0.07,11B
0.998628885,10.86513995,0.7,19.5,0.07,11B
1.247714808,15.05089059,1,19.5,0.07,11B
1.499085923,21.90839695,1,19.5,0.07,11B
1.631627057,27.91984733,1.2,19.5,0.07,11B
1.755027422,28.58778626,1.2,19.5,0.07,11B
1.99725777,28.543257,1.2,19.5,0.07,11B
,,,,,
0.498171846,3.339694656,0.6,21.5,0.07,11B
0.744972578,4.853689567,0.6,21.5,0.07,11B
0.994058501,9.484732824,0.6,21.5,0.07,11B
1.247714808,14.07124682,0.6,21.5,0.07,11B
1.501371115,19.54834606,0.8,21.5,0.07,11B
1.627056673,21.3740458,0.8,21.5,0.07,11B
1.75274223,23.60050891,0.9,21.5,0.07,11B
1.835009141,28.63231552,1,21.5,0.07,11B
1.99725777,30.54707379,1.2,21.5,0.07,11B
2.250914077,30.10178117,1,21.5,0.07,11B
,,,,,
0.170357751,1.68627451,0.4,14.8,0.4,12C
0.25076661,3.568627451,0.4,14.8,0.4,12C
0.328449744,4.470588235,1,14.8,0.4,12C
0.421124361,6.117647059,0.6,14.8,0.4,12C
0.500170358,7.490196078,1,14.8,0.4,12C
0.580579216,10.74509804,1,14.8,0.4,12C
0.667802385,15.09803922,0.6,14.8,0.4,12C
0.750936968,16.19607843,0.6,14.8,0.4,12C
0.869505963,16.47058824,0.6,14.8,0.4,12C
1.001703578,16.74509804,0.6,14.8,0.4,12C
,,,,,
0.331175468,2.31372549,1.2,19.2,0.4,12C
0.500170358,4.784313725,1,19.2,0.4,12C
0.579216354,6.196078431,0.8,19.2,0.4,12C
0.671890971,8.235294118,0.8,19.2,0.4,12C
0.746848382,10.11764706,0.7,19.2,0.4,12C
0.831345826,17.01960784,0.6,19.2,0.4,12C
0.998977853,21.49019608,0.6,19.2,0.4,12C
1.32879046,21.33333333,0.6,19.2,0.4,12C
,,,,,
0.25076661,1.803921569,0.4,22.5,0.4,12C
0.667802385,5.647058824,0.5,22.5,0.4,12C
0.831345826,8.980392157,1,22.5,0.4,12C
0.869505963,10.98039216,1.2,22.5,0.4,12C
0.918568995,13.88235294,1,22.5,0.4,12C
0.970357751,16.94117647,1.2,22.5,0.4,12C
0.998977853,18.70588235,1,22.5,0.4,12C
1.080749574,24.11764706,1,22.5,0.4,12C
1.172061329,25.01960784,0.7,22.5,0.4,12C
1.332879046,25.7254902,0.7,22.5,0.4,12C
1.500511073,26,0.7,22.5,0.4,12C
