Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
1e-05,3.01169,0.0004,0.0003,0.0002,14N,CR39,0.0
1e-05,3.15841,0.0004,0.0003,0.0002,14N,CR39,0.0
1e-05,3.29858,0.0005,0.0003,0.0002,14N,CR39,0.0
1e-05,3.43351,0.0005,0.0003,0.0002,14N,CR39,0.0
1e-05,3.5632,0.0005,0.0003,0.0002,14N,CR39,0.0
1e-05,3.68765,0.0005,0.0003,0.0002,14N,CR39,0.0
2e-05,3.80817,0.0005,0.0003,0.0002,14N,CR39,0.0
2e-05,3.92607,0.0005,0.0003,0.0002,14N,CR39,0.0
2e-05,4.04004,0.0005,0.0003,0.0002,14N,CR39,0.0
2e-05,4.25881,0.0006,0.0004,0.0003,14N,CR39,0.0
2e-05,4.51688,0.0006,0.0004,0.0003,14N,CR39,0.0
2e-05,4.76054,0.0006,0.0004,0.0003,14N,CR39,0.0
3e-05,4.99372,0.0007,0.0004,0.0003,14N,CR39,0.0
3e-05,5.21511,0.0007,0.0004,0.0003,14N,CR39,0.0
3e-05,5.42864,0.0007,0.0004,0.0003,14N,CR39,0.0
3e-05,5.633,0.0007,0.0005,0.0003,14N,CR39,0.0
4e-05,5.83081,0.0008,0.0005,0.0003,14N,CR39,0.0
4e-05,6.02207,0.0008,0.0005,0.0003,14N,CR39,0.0
4e-05,6.38756,0.0008,0.0005,0.0004,14N,CR39,0.0
5e-05,6.7334,0.0009,0.0005,0.0004,14N,CR39,0.0
5e-05,7.06221,0.0009,0.0006,0.0004,14N,CR39,0.0
6e-05,7.3753,0.001,0.0006,0.0004,14N,CR39,0.0
6e-05,7.6766,0.001,0.0006,0.0004,14N,CR39,0.0
7e-05,7.96611,0.0011,0.0006,0.0004,14N,CR39,0.0
8e-05,8.51631,0.0011,0.0007,0.0005,14N,CR39,1e-05
9e-05,9.03376,0.0012,0.0007,0.0005,14N,CR39,1e-05
0.0001,9.52239,0.0013,0.0007,0.0005,14N,CR39,1e-05
0.00011,9.98613,0.0014,0.0008,0.0006,14N,CR39,1e-05
0.00012,10.43022,0.0014,0.0008,0.0006,14N,CR39,1e-05
0.00013,10.85728,0.0015,0.0008,0.0006,14N,CR39,1e-05
0.00014,11.266,0.0015,0.0009,0.0006,14N,CR39,1e-05
0.00015,11.66162,0.0016,0.0009,0.0006,14N,CR39,1e-05
0.00016,12.04414,0.0017,0.0009,0.0007,14N,CR39,1e-05
0.00017,12.41487,0.0017,0.001,0.0007,14N,CR39,1e-05
0.00018,12.77512,0.0018,0.001,0.0007,14N,CR39,1e-05
0.0002,13.4668,0.0019,0.001,0.0008,14N,CR39,1e-05
0.00022,14.279,0.002,0.0011,0.0008,14N,CR39,2e-05
0.00025,15.0519,0.0022,0.0012,0.0008,14N,CR39,2e-05
0.00027,15.7855,0.0023,0.0012,0.0009,14N,CR39,2e-05
0.0003,16.4929,0.0024,0.0013,0.0009,14N,CR39,2e-05
0.00032,17.161,0.0026,0.0013,0.001,14N,CR39,2e-05
0.00035,17.816,0.0027,0.0014,0.001,14N,CR39,2e-05
0.00037,18.4448,0.0028,0.0014,0.0011,14N,CR39,3e-05
0.0004,19.0474,0.0029,0.0015,0.0011,14N,CR39,3e-05
0.00045,20.2002,0.0032,0.0016,0.0012,14N,CR39,3e-05
0.0005,21.2875,0.0034,0.0017,0.0013,14N,CR39,4e-05
0.00055,22.3355,0.0036,0.0018,0.0013,14N,CR39,4e-05
0.0006,23.318,0.0038,0.0019,0.0014,14N,CR39,4e-05
0.00065,24.2743,0.004,0.002,0.0015,14N,CR39,5e-05
0.0007,25.1913,0.0042,0.0021,0.0015,14N,CR39,5e-05
0.0008,26.9336,0.0047,0.0022,0.0017,14N,CR39,6e-05
0.0009,28.5711,0.0051,0.0024,0.0018,14N,CR39,6e-05
0.001,30.1169,0.0055,0.0026,0.0019,14N,CR39,7e-05
0.0011,31.5841,0.0059,0.0027,0.002,14N,CR39,8e-05
0.0012,32.9858,0.0062,0.0029,0.0021,14N,CR39,9e-05
0.0013,34.3351,0.0066,0.003,0.0022,14N,CR39,9e-05
0.0014,35.632,0.007,0.0032,0.0024,14N,CR39,0.0001
0.0015,36.8765,0.0074,0.0033,0.0025,14N,CR39,0.00011
0.0016,38.0817,0.0078,0.0035,0.0026,14N,CR39,0.00011
0.0017,39.2607,0.0081,0.0036,0.0027,14N,CR39,0.00012
0.0018,40.4004,0.0085,0.0038,0.0028,14N,CR39,0.00013
0.002,42.5881,0.0092,0.004,0.003,14N,CR39,0.00014
0.00225,45.1688,0.0101,0.0044,0.0032,14N,CR39,0.00016
0.0025,47.6054,0.011,0.0047,0.0035,14N,CR39,0.00018
0.00275,49.9372,0.0119,0.005,0.0037,14N,CR39,0.0002
0.003,52.1511,0.0128,0.0054,0.0039,14N,CR39,0.00021
0.00325,54.2864,0.0137,0.0057,0.0042,14N,CR39,0.00023
0.0035,56.33,0.0145,0.006,0.0044,14N,CR39,0.00025
0.00375,58.3081,0.0154,0.0063,0.0046,14N,CR39,0.00027
0.004,60.2207,0.0163,0.0066,0.0048,14N,CR39,0.00029
0.0045,63.8756,0.018,0.0072,0.0053,14N,CR39,0.00032
0.005,67.334,0.0198,0.0078,0.0057,14N,CR39,0.00036
0.0055,70.6221,0.0215,0.0083,0.0061,14N,CR39,0.00039
0.006,73.753,0.0232,0.0089,0.0065,14N,CR39,0.00043
0.0065,76.766,0.0249,0.0095,0.0069,14N,CR39,0.00046
0.007,79.6742,0.0267,0.01,0.0073,14N,CR39,0.0005
0.008,85.1631,0.0301,0.0111,0.0081,14N,CR39,0.00057
0.009,90.3376,0.0336,0.0121,0.0089,14N,CR39,0.00064
0.01,95.2239,0.037,0.0131,0.0096,14N,CR39,0.00071
0.011,99.8744,0.0405,0.0141,0.0104,14N,CR39,0.00079
0.012,104.3153,0.0439,0.0151,0.0111,14N,CR39,0.00086
0.013,108.5728,0.0474,0.016,0.0118,14N,CR39,0.00093
0.014,112.6731,0.0508,0.0169,0.0126,14N,CR39,0.001
0.015,116.6293,0.0543,0.0178,0.0133,14N,CR39,0.00107
0.016,120.4545,0.0577,0.0187,0.014,14N,CR39,0.00114
0.017,124.1618,0.0612,0.0195,0.0147,14N,CR39,0.00121
0.018,127.7512,0.0646,0.0204,0.0154,14N,CR39,0.00129
0.02,134.668,0.0715,0.022,0.0167,14N,CR39,0.00143
0.0225,142.79,0.08,0.0239,0.0184,14N,CR39,0.00161
0.025,150.519,0.0885,0.0258,0.02,14N,CR39,0.00178
0.0275,157.855,0.097,0.0275,0.0216,14N,CR39,0.00196
0.03,163.75,0.1054,0.0292,0.0232,14N,CR39,0.00214
0.0325,169.514,0.1138,0.0308,0.0247,14N,CR39,0.00232
0.035,175.278,0.1221,0.0324,0.0262,14N,CR39,0.0025
0.0375,180.911,0.1304,0.0339,0.0277,14N,CR39,0.00268
0.04,186.282,0.1387,0.0353,0.0291,14N,CR39,0.00286
0.045,196.369,0.155,0.0381,0.0319,14N,CR39,0.00321
0.05,205.408,0.1712,0.0406,0.0345,14N,CR39,0.00357
0.055,213.399,0.1872,0.043,0.0371,14N,CR39,0.00393
0.06,220.604,0.203,0.0453,0.0396,14N,CR39,0.00428
0.065,227.154,0.2188,0.0474,0.042,14N,CR39,0.00464
0.07,233.049,0.2344,0.0495,0.0443,14N,CR39,0.005
0.08,243.66,0.2653,0.0534,0.0487,14N,CR39,0.00571
0.09,252.83,0.2959,0.057,0.0529,14N,CR39,0.00643
0.1,261.214,0.3261,0.0603,0.0569,14N,CR39,0.00714
0.11,268.943,0.3559,0.0634,0.0607,14N,CR39,0.00785
0.12,276.41,0.3854,0.0663,0.0644,14N,CR39,0.00857
0.13,283.484,0.4146,0.069,0.0679,14N,CR39,0.00928
0.14,290.296,0.4435,0.0716,0.0712,14N,CR39,0.01
0.15,296.977,0.472,0.074,0.0744,14N,CR39,0.01071
0.16,303.658,0.5001,0.0763,0.0775,14N,CR39,0.01142
0.17,310.208,0.5279,0.0784,0.0805,14N,CR39,0.01214
0.18,316.758,0.5553,0.0805,0.0834,14N,CR39,0.01285
0.2,329.727,0.6092,0.0845,0.0889,14N,CR39,0.01428
0.225,346.102,0.6744,0.089,0.0952,14N,CR39,0.01606
0.25,362.87,0.7375,0.093,0.1011,14N,CR39,0.01785
0.275,379.638,0.7983,0.0966,0.1065,14N,CR39,0.01963
