Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
1e-05,2.0174,0.0006,0.0007,0.0005,1H,CR39,1e-05
1e-05,2.11696,0.0006,0.0007,0.0005,1H,CR39,1e-05
1e-05,2.21128,0.0006,0.0008,0.0005,1H,CR39,1e-05
1e-05,2.30036,0.0007,0.0008,0.0006,1H,CR39,1e-05
1e-05,2.38813,0.0007,0.0008,0.0006,1H,CR39,1e-05
1e-05,2.47197,0.0008,0.0009,0.0006,1H,CR39,1e-05
2e-05,2.55319,0.0008,0.0009,0.0007,1H,CR39,2e-05
2e-05,2.63179,0.0008,0.0009,0.0007,1H,CR39,2e-05
2e-05,2.70777,0.0009,0.001,0.0007,1H,CR39,2e-05
2e-05,2.85449,0.0009,0.001,0.0008,1H,CR39,2e-05
2e-05,3.02741,0.001,0.0011,0.0008,1H,CR39,2e-05
2e-05,3.19116,0.0011,0.0012,0.0009,1H,CR39,2e-05
3e-05,3.34705,0.0012,0.0013,0.001,1H,CR39,3e-05
3e-05,3.49508,0.0012,0.0014,0.001,1H,CR39,3e-05
3e-05,3.63787,0.0013,0.0014,0.0011,1H,CR39,3e-05
3e-05,3.77542,0.0014,0.0015,0.0011,1H,CR39,3e-05
4e-05,3.90773,0.0015,0.0016,0.0012,1H,CR39,4e-05
4e-05,4.03611,0.0015,0.0017,0.0012,1H,CR39,4e-05
4e-05,4.28108,0.0017,0.0018,0.0013,1H,CR39,4e-05
5e-05,4.51295,0.0018,0.0019,0.0015,1H,CR39,5e-05
5e-05,4.73303,0.002,0.0021,0.0016,1H,CR39,5e-05
6e-05,4.94263,0.0021,0.0022,0.0017,1H,CR39,6e-05
6e-05,5.14437,0.0022,0.0023,0.0018,1H,CR39,6e-05
7e-05,5.33956,0.0024,0.0025,0.0019,1H,CR39,7e-05
8e-05,5.70767,0.0027,0.0027,0.002,1H,CR39,8e-05
9e-05,6.05351,0.0029,0.003,0.0022,1H,CR39,9e-05
0.0001,6.38101,0.0032,0.0032,0.0024,1H,CR39,0.0001
0.00011,6.69279,0.0035,0.0034,0.0026,1H,CR39,0.00011
0.00012,6.99016,0.0037,0.0037,0.0028,1H,CR39,0.00012
0.00013,7.27574,0.004,0.0039,0.0029,1H,CR39,0.00013
0.00014,7.55084,0.0043,0.0041,0.0031,1H,CR39,0.00014
0.00015,7.81546,0.0045,0.0043,0.0033,1H,CR39,0.00015
0.00016,8.07222,0.0048,0.0045,0.0034,1H,CR39,0.00016
0.00017,8.32112,0.0051,0.0047,0.0036,1H,CR39,0.00017
0.00018,8.56216,0.0053,0.0049,0.0038,1H,CR39,0.00018
0.0002,9.02459,0.0059,0.0054,0.0041,1H,CR39,0.0002
0.00022,9.57217,0.0065,0.0058,0.0045,1H,CR39,0.00022
0.00025,10.08962,0.0072,0.0063,0.0049,1H,CR39,0.00025
0.00027,10.58218,0.0078,0.0068,0.0052,1H,CR39,0.00027
0.0003,11.05378,0.0085,0.0072,0.0056,1H,CR39,0.0003
0.00032,11.50442,0.0091,0.0077,0.0059,1H,CR39,0.00032
0.00035,11.93934,0.0098,0.0081,0.0063,1H,CR39,0.00035
0.00037,12.35854,0.0104,0.0085,0.0066,1H,CR39,0.00037
0.0004,12.76333,0.0111,0.0089,0.007,1H,CR39,0.0004
0.00045,13.5323,0.0124,0.0097,0.0076,1H,CR39,0.00045
0.0005,14.2659,0.0137,0.0105,0.0083,1H,CR39,0.0005
0.00055,14.9602,0.0149,0.0112,0.0089,1H,CR39,0.00055
0.0006,15.6283,0.0162,0.0119,0.0095,1H,CR39,0.0006
0.00065,16.2702,0.0175,0.0126,0.0101,1H,CR39,0.00064
0.0007,16.8859,0.0188,0.0133,0.0106,1H,CR39,0.00069
0.0008,18.0518,0.0213,0.0145,0.0117,1H,CR39,0.00079
0.0009,19.1391,0.0238,0.0157,0.0128,1H,CR39,0.00089
0.001,20.174,0.0263,0.0168,0.0138,1H,CR39,0.00099
0.0011,21.1696,0.0287,0.0179,0.0147,1H,CR39,0.00109
0.0012,22.1128,0.0312,0.0189,0.0156,1H,CR39,0.00119
0.0013,23.0036,0.0336,0.0198,0.0165,1H,CR39,0.00129
0.0014,23.8813,0.036,0.0207,0.0174,1H,CR39,0.00139
0.0015,24.7197,0.0383,0.0216,0.0182,1H,CR39,0.00149
0.0016,25.5319,0.0407,0.0224,0.019,1H,CR39,0.00159
0.0017,26.3179,0.043,0.0232,0.0197,1H,CR39,0.00169
0.0018,27.0777,0.0453,0.0239,0.0205,1H,CR39,0.00179
0.002,28.5449,0.0499,0.0253,0.0219,1H,CR39,0.00198
0.00225,30.1038,0.0554,0.027,0.0236,1H,CR39,0.00223
0.0025,31.5841,0.0609,0.0284,0.0252,1H,CR39,0.00248
0.00275,32.9858,0.0663,0.0298,0.0266,1H,CR39,0.00273
0.003,34.322,0.0716,0.0311,0.028,1H,CR39,0.00298
0.00325,35.6058,0.0768,0.0323,0.0294,1H,CR39,0.00322
0.0035,36.8372,0.0819,0.0334,0.0307,1H,CR39,0.00347
0.00375,38.0424,0.0869,0.0344,0.0319,1H,CR39,0.00372
0.004,39.1952,0.0919,0.0354,0.033,1H,CR39,0.00397
