Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
1e-05,2.56891,0.0004,0.0003,0.0002,11B,CR39,0.0
1e-05,2.69467,0.0004,0.0003,0.0002,11B,CR39,0.0
1e-05,2.81388,0.0005,0.0003,0.0002,11B,CR39,0.0
1e-05,2.92916,0.0005,0.0003,0.0002,11B,CR39,0.0
1e-05,3.0392,0.0005,0.0003,0.0002,11B,CR39,0.0
1e-05,3.14662,0.0005,0.0003,0.0002,11B,CR39,0.0
2e-05,3.25011,0.0005,0.0004,0.0003,11B,CR39,0.0
2e-05,3.34967,0.0005,0.0004,0.0003,11B,CR39,0.0
2e-05,3.44661,0.0006,0.0004,0.0003,11B,CR39,0.0
2e-05,3.63263,0.0006,0.0004,0.0003,11B,CR39,0.0
2e-05,3.85402,0.0006,0.0004,0.0003,11B,CR39,0.0
2e-05,4.06231,0.0007,0.0004,0.0003,11B,CR39,0.0
3e-05,4.26012,0.0007,0.0005,0.0003,11B,CR39,0.0
3e-05,4.45007,0.0007,0.0005,0.0003,11B,CR39,0.0
3e-05,4.63085,0.0008,0.0005,0.0004,11B,CR39,0.0
3e-05,4.80639,0.0008,0.0005,0.0004,11B,CR39,0.0
4e-05,4.97538,0.0008,0.0005,0.0004,11B,CR39,0.0
4e-05,5.13782,0.0008,0.0005,0.0004,11B,CR39,0.0
4e-05,5.4496,0.0009,0.0006,0.0004,11B,CR39,0.0
5e-05,5.74435,0.0009,0.0006,0.0004,11B,CR39,0.0
5e-05,6.02469,0.001,0.0006,0.0005,11B,CR39,0.0
6e-05,6.29324,0.001,0.0007,0.0005,11B,CR39,1e-05
6e-05,6.55,0.0011,0.0007,0.0005,11B,CR39,1e-05
7e-05,6.79759,0.0011,0.0007,0.0005,11B,CR39,1e-05
8e-05,7.26657,0.0012,0.0008,0.0005,11B,CR39,1e-05
9e-05,7.70673,0.0013,0.0008,0.0006,11B,CR39,1e-05
0.0001,8.12331,0.0014,0.0009,0.0006,11B,CR39,1e-05
0.00011,8.52024,0.0015,0.0009,0.0006,11B,CR39,1e-05
0.00012,8.89883,0.0016,0.0009,0.0007,11B,CR39,1e-05
0.00013,9.26301,0.0016,0.001,0.0007,11B,CR39,1e-05
0.00014,9.61278,0.0017,0.001,0.0007,11B,CR39,1e-05
0.00015,9.94945,0.0018,0.0011,0.0008,11B,CR39,1e-05
0.00016,10.27564,0.0019,0.0011,0.0008,11B,CR39,1e-05
0.00017,10.59266,0.0019,0.0011,0.0008,11B,CR39,2e-05
0.00018,10.8992,0.002,0.0012,0.0008,11B,CR39,2e-05
0.0002,11.4887,0.0021,0.0012,0.0009,11B,CR39,2e-05
0.00022,12.18562,0.0023,0.0013,0.001,11B,CR39,2e-05
0.00025,12.84455,0.0025,0.0014,0.001,11B,CR39,2e-05
0.00027,13.4668,0.0026,0.0015,0.0011,11B,CR39,2e-05
0.0003,14.0694,0.0028,0.0015,0.0011,11B,CR39,3e-05
0.00032,14.6458,0.0029,0.0016,0.0012,11B,CR39,3e-05
0.00035,15.196,0.0031,0.0017,0.0012,11B,CR39,3e-05
0.00037,15.7331,0.0032,0.0018,0.0013,11B,CR39,3e-05
0.0004,16.244,0.0034,0.0018,0.0013,11B,CR39,4e-05
0.00045,17.2396,0.0037,0.002,0.0014,11B,CR39,4e-05
0.0005,18.1697,0.004,0.0021,0.0015,11B,CR39,5e-05
0.00055,19.0474,0.0043,0.0022,0.0016,11B,CR39,5e-05
0.0006,19.8989,0.0045,0.0024,0.0017,11B,CR39,6e-05
0.00065,20.7111,0.0048,0.0025,0.0018,11B,CR39,6e-05
0.0007,21.4971,0.0051,0.0026,0.0019,11B,CR39,6e-05
0.0008,22.9774,0.0056,0.0028,0.0021,11B,CR39,7e-05
0.0009,24.366,0.0061,0.0031,0.0023,11B,CR39,8e-05
0.001,25.6891,0.0067,0.0033,0.0024,11B,CR39,9e-05
0.0011,26.9467,0.0072,0.0035,0.0026,11B,CR39,0.0001
