Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
1e-05,2.75755,0.0004,0.0003,0.0002,16O,CR39,0.0
1e-05,2.89248,0.0004,0.0003,0.0002,16O,CR39,0.0
1e-05,3.02086,0.0005,0.0003,0.0002,16O,CR39,0.0
1e-05,3.144,0.0005,0.0003,0.0002,16O,CR39,0.0
1e-05,3.26321,0.0005,0.0003,0.0002,16O,CR39,0.0
1e-05,3.37718,0.0005,0.0003,0.0002,16O,CR39,0.0
2e-05,3.48853,0.0005,0.0003,0.0002,16O,CR39,0.0
2e-05,3.59595,0.0005,0.0003,0.0002,16O,CR39,0.0
2e-05,3.70075,0.0006,0.0003,0.0002,16O,CR39,0.0
2e-05,3.89987,0.0006,0.0003,0.0002,16O,CR39,0.0
2e-05,4.13698,0.0006,0.0004,0.0003,16O,CR39,0.0
2e-05,4.36099,0.0006,0.0004,0.0003,16O,CR39,0.0
3e-05,4.57321,0.0007,0.0004,0.0003,16O,CR39,0.0
3e-05,4.77757,0.0007,0.0004,0.0003,16O,CR39,0.0
3e-05,4.97145,0.0007,0.0004,0.0003,16O,CR39,0.0
3e-05,5.16009,0.0008,0.0004,0.0003,16O,CR39,0.0
4e-05,5.34087,0.0008,0.0005,0.0003,16O,CR39,0.0
4e-05,5.51641,0.0008,0.0005,0.0003,16O,CR39,0.0
4e-05,5.85046,0.0009,0.0005,0.0004,16O,CR39,0.0
5e-05,6.16748,0.0009,0.0005,0.0004,16O,CR39,0.0
5e-05,6.46747,0.0009,0.0005,0.0004,16O,CR39,0.0
6e-05,6.75567,0.001,0.0006,0.0004,16O,CR39,0.0
6e-05,7.03208,0.001,0.0006,0.0004,16O,CR39,0.0
7e-05,7.2967,0.0011,0.0006,0.0004,16O,CR39,0.0
8e-05,7.80105,0.0011,0.0006,0.0005,16O,CR39,1e-05
9e-05,8.27396,0.0012,0.0007,0.0005,16O,CR39,1e-05
0.0001,8.72198,0.0013,0.0007,0.0005,16O,CR39,1e-05
0.00011,9.14773,0.0013,0.0007,0.0005,16O,CR39,1e-05
0.00012,9.55383,0.0014,0.0008,0.0006,16O,CR39,1e-05
0.00013,9.94421,0.0015,0.0008,0.0006,16O,CR39,1e-05
