Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
1e-05,1.63226,0.0005,0.0004,0.0003,4He,CR39,0.0
1e-05,1.71086,0.0005,0.0004,0.0003,4He,CR39,0.0
1e-05,1.78684,0.0005,0.0005,0.0003,4He,CR39,0.0
1e-05,1.8602,0.0005,0.0005,0.0004,4He,CR39,0.0
1e-05,1.93094,0.0006,0.0005,0.0004,4He,CR39,0.0
1e-05,1.99906,0.0006,0.0005,0.0004,4He,CR39,0.0
2e-05,2.06456,0.0006,0.0005,0.0004,4He,CR39,0.0
2e-05,2.12744,0.0006,0.0006,0.0004,4He,CR39,0.0
2e-05,2.18901,0.0007,0.0006,0.0004,4He,CR39,0.0
2e-05,2.30822,0.0007,0.0006,0.0004,4He,CR39,0.0
2e-05,2.44708,0.0008,0.0006,0.0005,4He,CR39,0.0
2e-05,2.57939,0.0008,0.0007,0.0005,4He,CR39,0.0
3e-05,2.70646,0.0009,0.0007,0.0005,4He,CR39,1e-05
3e-05,2.82567,0.0009,0.0008,0.0006,4He,CR39,1e-05
3e-05,2.94095,0.0009,0.0008,0.0006,4He,CR39,1e-05
3e-05,3.0523,0.001,0.0008,0.0006,4He,CR39,1e-05
4e-05,3.15972,0.001,0.0009,0.0006,4He,CR39,1e-05
4e-05,3.26321,0.0011,0.0009,0.0007,4He,CR39,1e-05
4e-05,3.46102,0.0012,0.001,0.0007,4He,CR39,1e-05
5e-05,3.64835,0.0013,0.001,0.0007,4He,CR39,1e-05
5e-05,3.82651,0.0013,0.0011,0.0008,4He,CR39,1e-05
6e-05,3.99681,0.0014,0.0011,0.0008,4He,CR39,1e-05
6e-05,4.16056,0.0015,0.0012,0.0009,4He,CR39,1e-05
7e-05,4.31645,0.0016,0.0013,0.0009,4He,CR39,2e-05
8e-05,4.61513,0.0017,0.0014,0.001,4He,CR39,2e-05
9e-05,4.89547,0.0019,0.0015,0.0011,4He,CR39,2e-05
0.0001,5.16009,0.0021,0.0016,0.0012,4He,CR39,2e-05
0.00011,5.41161,0.0022,0.0017,0.0012,4He,CR39,3e-05
0.00012,5.65265,0.0023,0.0018,0.0013,4He,CR39,3e-05
0.00013,5.88321,0.0025,0.0019,0.0014,4He,CR39,3e-05
0.00014,6.10591,0.0026,0.002,0.0015,4He,CR39,3e-05
0.00015,6.31944,0.0028,0.0021,0.0015,4He,CR39,4e-05
0.00016,6.52642,0.0029,0.0022,0.0016,4He,CR39,4e-05
0.00017,6.72816,0.0031,0.0023,0.0017,4He,CR39,4e-05
0.00018,6.92335,0.0032,0.0024,0.0017,4He,CR39,4e-05
0.0002,7.2967,0.0035,0.0025,0.0019,4He,CR39,5e-05
0.00022,7.73948,0.0038,0.0028,0.002,4He,CR39,5e-05
0.00025,8.15868,0.0042,0.003,0.0022,4He,CR39,6e-05
0.00027,8.55692,0.0045,0.0032,0.0024,4He,CR39,7e-05
0.0003,8.93682,0.0049,0.0034,0.0025,4He,CR39,7e-05
0.00032,9.30231,0.0052,0.0036,0.0027,4He,CR39,8e-05
0.00035,9.65339,0.0056,0.0038,0.0028,4He,CR39,9e-05
0.00037,9.99268,0.0059,0.004,0.003,4He,CR39,9e-05
0.0004,10.32018,0.0062,0.0042,0.0031,4He,CR39,0.0001
0.00045,10.94636,0.0069,0.0046,0.0034,4He,CR39,0.00011
0.0005,11.53848,0.0076,0.005,0.0037,4He,CR39,0.00012
0.00055,12.10178,0.0083,0.0054,0.004,4He,CR39,0.00014
0.0006,12.63888,0.009,0.0058,0.0043,4He,CR39,0.00015
0.00065,13.1524,0.0096,0.0062,0.0046,4He,CR39,0.00016
0.0007,13.6502,0.0103,0.0066,0.0049,4He,CR39,0.00017
0.0008,14.5934,0.0117,0.0073,0.0055,4He,CR39,0.0002
0.0009,15.4842,0.0131,0.0081,0.006,4He,CR39,0.00022
0.001,16.3226,0.0145,0.0088,0.0066,4He,CR39,0.00025
0.0011,17.1086,0.0159,0.0095,0.0071,4He,CR39,0.00027
0.0012,17.8684,0.0173,0.0102,0.0077,4He,CR39,0.0003
0.0013,18.602,0.0187,0.0109,0.0082,4He,CR39,0.00032
0.0014,19.3094,0.0201,0.0116,0.0087,4He,CR39,0.00035
0.0015,19.9906,0.0215,0.0122,0.0093,4He,CR39,0.00037
0.0016,20.6456,0.0229,0.0129,0.0098,4He,CR39,0.0004
0.0017,21.2744,0.0244,0.0136,0.0103,4He,CR39,0.00042
0.0018,21.8901,0.0258,0.0142,0.0108,4He,CR39,0.00045
0.002,23.0822,0.0287,0.0155,0.0119,4He,CR39,0.0005
0.00225,24.4708,0.0323,0.017,0.0131,4He,CR39,0.00056
0.0025,25.807,0.0359,0.0185,0.0144,4He,CR39,0.00062
0.00275,27.0646,0.0396,0.02,0.0156,4He,CR39,0.00069
0.003,28.2698,0.0432,0.0214,0.0168,4He,CR39,0.00075
0.00325,29.4226,0.0469,0.0227,0.018,4He,CR39,0.00081
0.0035,30.523,0.0505,0.024,0.0192,4He,CR39,0.00087
0.00375,31.5972,0.0542,0.0253,0.0203,4He,CR39,0.00094
0.004,32.6321,0.0578,0.0266,0.0214,4He,CR39,0.001
0.0045,34.6102,0.0651,0.029,0.0236,4He,CR39,0.00112
0.005,36.4835,0.0723,0.0312,0.0258,4He,CR39,0.00125
0.0055,38.2651,0.0794,0.0334,0.0278,4He,CR39,0.00137
0.006,39.9681,0.0866,0.0354,0.0298,4He,CR39,0.0015
