Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
1e-05,1.40694,0.0005,0.0004,0.0003,7Li,CR39,0.0
1e-05,1.47637,0.0005,0.0004,0.0003,7Li,CR39,0.0
1e-05,1.54187,0.0005,0.0004,0.0003,7Li,CR39,0.0
1e-05,1.60475,0.0005,0.0004,0.0003,7Li,CR39,0.0
1e-05,1.66501,0.0005,0.0004,0.0003,7Li,CR39,0.0
1e-05,1.72396,0.0006,0.0004,0.0003,7Li,CR39,0.0
2e-05,1.78029,0.0006,0.0004,0.0003,7Li,CR39,0.0
2e-05,1.83531,0.0006,0.0005,0.0003,7Li,CR39,0.0
2e-05,1.88771,0.0006,0.0005,0.0003,7Li,CR39,0.0
2e-05,1.98989,0.0006,0.0005,0.0004,7Li,CR39,0.0
2e-05,2.11041,0.0007,0.0005,0.0004,7Li,CR39,0.0
2e-05,2.22569,0.0007,0.0006,0.0004,7Li,CR39,0.0
3e-05,2.33311,0.0008,0.0006,0.0004,7Li,CR39,0.0
3e-05,2.43791,0.0008,0.0006,0.0004,7Li,CR39,0.0
3e-05,2.53747,0.0009,0.0006,0.0005,7Li,CR39,0.0
3e-05,2.6331,0.0009,0.0007,0.0005,7Li,CR39,0.0
4e-05,2.7248,0.0009,0.0007,0.0005,7Li,CR39,1e-05
4e-05,2.81388,0.001,0.0007,0.0005,7Li,CR39,1e-05
4e-05,2.98549,0.001,0.0008,0.0005,7Li,CR39,1e-05
5e-05,3.14662,0.0011,0.0008,0.0006,7Li,CR39,1e-05
5e-05,3.29989,0.0012,0.0008,0.0006,7Li,CR39,1e-05
6e-05,3.44661,0.0012,0.0009,0.0006,7Li,CR39,1e-05
6e-05,3.58809,0.0013,0.0009,0.0007,7Li,CR39,1e-05
7e-05,3.72302,0.0014,0.001,0.0007,7Li,CR39,1e-05
8e-05,3.97978,0.0015,0.001,0.0007,7Li,CR39,1e-05
9e-05,4.22213,0.0016,0.0011,0.0008,7Li,CR39,1e-05
0.0001,4.45007,0.0017,0.0012,0.0008,7Li,CR39,1e-05
0.00011,4.66753,0.0018,0.0012,0.0009,7Li,CR39,2e-05
0.00012,4.87451,0.0019,0.0013,0.0009,7Li,CR39,2e-05
0.00013,5.07363,0.002,0.0014,0.001,7Li,CR39,2e-05
0.00014,5.26489,0.0021,0.0014,0.001,7Li,CR39,2e-05
0.00015,5.4496,0.0023,0.0015,0.0011,7Li,CR39,2e-05
0.00016,5.62907,0.0024,0.0016,0.0011,7Li,CR39,2e-05
0.00017,5.80199,0.0025,0.0016,0.0012,7Li,CR39,2e-05
0.00018,5.97098,0.0026,0.0017,0.0012,7Li,CR39,3e-05
0.0002,6.29324,0.0028,0.0018,0.0013,7Li,CR39,3e-05
0.00022,6.67576,0.003,0.0019,0.0014,7Li,CR39,3e-05
0.00025,7.03601,0.0033,0.0021,0.0015,7Li,CR39,4e-05
0.00027,7.37923,0.0035,0.0022,0.0016,7Li,CR39,4e-05
0.0003,7.70804,0.0037,0.0023,0.0017,7Li,CR39,4e-05
0.00032,8.02244,0.004,0.0025,0.0018,7Li,CR39,5e-05
0.00035,8.32505,0.0042,0.0026,0.0019,7Li,CR39,5e-05
0.00037,8.61718,0.0045,0.0027,0.002,7Li,CR39,5e-05
0.0004,8.90014,0.0047,0.0028,0.0021,7Li,CR39,6e-05
0.00045,9.43986,0.0052,0.0031,0.0023,7Li,CR39,6e-05
0.0005,9.95076,0.0056,0.0033,0.0024,7Li,CR39,7e-05
0.00055,10.43677,0.0061,0.0036,0.0026,7Li,CR39,8e-05
0.0006,10.90051,0.0065,0.0038,0.0028,7Li,CR39,9e-05
0.00065,11.34591,0.007,0.0041,0.0029,7Li,CR39,9e-05
0.0007,11.77428,0.0074,0.0043,0.0031,7Li,CR39,0.0001
0.0008,12.58648,0.0084,0.0047,0.0034,7Li,CR39,0.00012
0.0009,13.3489,0.0093,0.0052,0.0038,7Li,CR39,0.00013
0.001,14.0694,0.0102,0.0056,0.0041,7Li,CR39,0.00014
0.0011,14.7637,0.0111,0.0061,0.0044,7Li,CR39,0.00016
