Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
1e-05,1.73837,0.0004,0.0003,0.0002,9Be,CR39,0.0
1e-05,1.82352,0.0005,0.0003,0.0002,9Be,CR39,0.0
1e-05,1.90474,0.0005,0.0003,0.0002,9Be,CR39,0.0
1e-05,1.98203,0.0005,0.0004,0.0003,9Be,CR39,0.0
1e-05,2.05801,0.0005,0.0004,0.0003,9Be,CR39,0.0
1e-05,2.13006,0.0005,0.0004,0.0003,9Be,CR39,0.0
2e-05,2.19949,0.0005,0.0004,0.0003,9Be,CR39,0.0
2e-05,2.26761,0.0006,0.0004,0.0003,9Be,CR39,0.0
2e-05,2.33311,0.0006,0.0004,0.0003,9Be,CR39,0.0
2e-05,2.45887,0.0006,0.0004,0.0003,9Be,CR39,0.0
2e-05,2.60821,0.0007,0.0005,0.0003,9Be,CR39,0.0
2e-05,2.74969,0.0007,0.0005,0.0003,9Be,CR39,0.0
3e-05,2.88331,0.0007,0.0005,0.0004,9Be,CR39,0.0
3e-05,3.01169,0.0008,0.0005,0.0004,9Be,CR39,0.0
3e-05,3.13483,0.0008,0.0006,0.0004,9Be,CR39,0.0
3e-05,3.25273,0.0008,0.0006,0.0004,9Be,CR39,0.0
4e-05,3.3667,0.0009,0.0006,0.0004,9Be,CR39,0.0
4e-05,3.47805,0.0009,0.0006,0.0004,9Be,CR39,0.0
4e-05,3.68896,0.0009,0.0007,0.0005,9Be,CR39,0.0
5e-05,3.88808,0.001,0.0007,0.0005,9Be,CR39,1e-05
5e-05,4.07803,0.0011,0.0007,0.0005,9Be,CR39,1e-05
6e-05,4.25881,0.0011,0.0008,0.0005,9Be,CR39,1e-05
6e-05,4.43304,0.0012,0.0008,0.0006,9Be,CR39,1e-05
7e-05,4.60072,0.0012,0.0008,0.0006,9Be,CR39,1e-05
8e-05,4.91774,0.0013,0.0009,0.0006,9Be,CR39,1e-05
9e-05,5.21642,0.0014,0.0009,0.0007,9Be,CR39,1e-05
0.0001,5.49807,0.0015,0.001,0.0007,9Be,CR39,1e-05
0.00011,5.76662,0.0016,0.001,0.0007,9Be,CR39,1e-05
0.00012,6.02338,0.0017,0.0011,0.0008,9Be,CR39,1e-05
0.00013,6.26966,0.0018,0.0011,0.0008,9Be,CR39,1e-05
0.00014,6.50677,0.0019,0.0012,0.0009,9Be,CR39,2e-05
0.00015,6.73471,0.002,0.0012,0.0009,9Be,CR39,2e-05
0.00016,6.95479,0.0021,0.0013,0.0009,9Be,CR39,2e-05
0.00017,7.16963,0.0021,0.0013,0.001,9Be,CR39,2e-05
0.00018,7.37661,0.0022,0.0014,0.001,9Be,CR39,2e-05
0.0002,7.77616,0.0024,0.0015,0.0011,9Be,CR39,2e-05
0.00022,8.24776,0.0026,0.0016,0.0011,9Be,CR39,2e-05
0.00025,8.69447,0.0028,0.0017,0.0012,9Be,CR39,3e-05
0.00027,9.11891,0.003,0.0018,0.0013,9Be,CR39,3e-05
0.0003,9.5237,0.0032,0.0019,0.0014,9Be,CR39,3e-05
0.00032,9.91277,0.0033,0.002,0.0014,9Be,CR39,4e-05
0.00035,10.28743,0.0035,0.0021,0.0015,9Be,CR39,4e-05
0.00037,10.64768,0.0037,0.0021,0.0016,9Be,CR39,4e-05
0.0004,10.99745,0.0039,0.0022,0.0016,9Be,CR39,4e-05
0.00045,11.66424,0.0043,0.0024,0.0018,9Be,CR39,5e-05
0.0005,12.29566,0.0046,0.0026,0.0019,9Be,CR39,6e-05
0.00055,12.89564,0.005,0.0028,0.002,9Be,CR39,6e-05
0.0006,13.4668,0.0053,0.0029,0.0021,9Be,CR39,7e-05
0.00065,14.017,0.0056,0.0031,0.0023,9Be,CR39,7e-05
0.0007,14.5541,0.006,0.0033,0.0024,9Be,CR39,8e-05
0.0008,15.5497,0.0067,0.0036,0.0026,9Be,CR39,9e-05
0.0009,16.4929,0.0073,0.0039,0.0028,9Be,CR39,0.0001
0.001,17.3837,0.008,0.0042,0.0031,9Be,CR39,0.00011
0.0011,18.2352,0.0087,0.0045,0.0033,9Be,CR39,0.00012
0.0012,19.0474,0.0093,0.0048,0.0035,9Be,CR39,0.00013
0.0013,19.8203,0.01,0.0051,0.0037,9Be,CR39,0.00014
0.0014,20.5801,0.0107,0.0054,0.0039,9Be,CR39,0.00016
0.0015,21.3006,0.0113,0.0057,0.0041,9Be,CR39,0.00017
0.0016,21.9949,0.012,0.006,0.0043,9Be,CR39,0.00018
0.0017,22.6761,0.0127,0.0063,0.0045,9Be,CR39,0.00019
0.0018,23.3311,0.0133,0.0066,0.0047,9Be,CR39,0.0002
0.002,24.5887,0.0147,0.0071,0.0051,9Be,CR39,0.00022
0.00225,26.0821,0.0163,0.0079,0.0056,9Be,CR39,0.00025
0.0025,27.4969,0.018,0.0085,0.0061,9Be,CR39,0.00028
0.00275,28.8331,0.0197,0.0092,0.0066,9Be,CR39,0.00031
0.003,30.1169,0.0214,0.0099,0.0071,9Be,CR39,0.00033
0.00325,31.3483,0.0231,0.0106,0.0076,9Be,CR39,0.00036
0.0035,32.5273,0.0248,0.0113,0.0081,9Be,CR39,0.00039
0.00375,33.667,0.0265,0.0119,0.0085,9Be,CR39,0.00042
0.004,34.7805,0.0283,0.0126,0.009,9Be,CR39,0.00044
