 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Januar 12, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Boron in  H- C- O

 Ion = Boron [5] , Mass = 11.009 amu

 Target Density =  1.3100E+00 g/cm3 = 1.0642E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    2.022E-02  1.858E-01       4 A         3 A         2 A   
10.9999 eV    2.120E-02  1.949E-01       4 A         3 A         2 A   
11.9999 eV    2.214E-02  2.035E-01       5 A         3 A         2 A   
12.9999 eV    2.305E-02  2.116E-01       5 A         3 A         2 A   
13.9999 eV    2.392E-02  2.194E-01       5 A         3 A         2 A   
14.9999 eV    2.476E-02  2.268E-01       5 A         3 A         2 A   
15.9999 eV    2.557E-02  2.339E-01       5 A         4 A         3 A   
16.9999 eV    2.636E-02  2.407E-01       5 A         4 A         3 A   
17.9999 eV    2.712E-02  2.472E-01       6 A         4 A         3 A   
19.9999 eV    2.859E-02  2.596E-01       6 A         4 A         3 A   
22.4999 eV    3.032E-02  2.740E-01       6 A         4 A         3 A   
24.9999 eV    3.196E-02  2.873E-01       7 A         4 A         3 A   
27.4999 eV    3.352E-02  2.997E-01       7 A         5 A         3 A   
29.9999 eV    3.501E-02  3.113E-01       7 A         5 A         3 A   
32.4999 eV    3.644E-02  3.222E-01       8 A         5 A         4 A   
34.9999 eV    3.782E-02  3.325E-01       8 A         5 A         4 A   
37.4999 eV    3.915E-02  3.422E-01       8 A         5 A         4 A   
39.9999 eV    4.043E-02  3.515E-01       8 A         5 A         4 A   
44.9999 eV    4.288E-02  3.688E-01       9 A         6 A         4 A   
