 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Januar 12, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in  H- C- O

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.3100E+00 g/cm3 = 1.0642E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    1.540E-02  3.875E-02       6 A         7 A         5 A   
10.9999 eV    1.616E-02  3.964E-02       6 A         7 A         5 A   
11.9999 eV    1.688E-02  4.043E-02       6 A         8 A         5 A   
12.9999 eV    1.756E-02  4.115E-02       7 A         8 A         6 A   
13.9999 eV    1.823E-02  4.180E-02       7 A         8 A         6 A   
14.9999 eV    1.887E-02  4.240E-02       8 A         9 A         6 A   
15.9999 eV    1.949E-02  4.294E-02       8 A         9 A         7 A   
16.9999 eV    2.009E-02  4.344E-02       8 A         9 A         7 A   
17.9999 eV    2.067E-02  4.390E-02       9 A        10 A         7 A   
19.9999 eV    2.179E-02  4.471E-02       9 A        10 A         8 A   
22.4999 eV    2.311E-02  4.557E-02      10 A        11 A         8 A   
24.9999 eV    2.436E-02  4.629E-02      11 A        12 A         9 A   
27.4999 eV    2.555E-02  4.690E-02      12 A        13 A        10 A   
29.9999 eV    2.668E-02  4.741E-02      12 A        14 A        10 A   
32.4999 eV    2.777E-02  4.785E-02      13 A        14 A        11 A   
34.9999 eV    2.882E-02  4.822E-02      14 A        15 A        11 A   
37.4999 eV    2.983E-02  4.854E-02      15 A        16 A        12 A   
39.9999 eV    3.081E-02  4.881E-02      15 A        17 A        12 A   
