 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Januar 12, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in  H- C- O

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.3100E+00 g/cm3 = 1.0642E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    1.284E-02  1.033E-01       5 A         4 A         3 A   
10.9999 eV    1.347E-02  1.072E-01       5 A         4 A         3 A   
11.9999 eV    1.407E-02  1.108E-01       5 A         5 A         3 A   
12.9999 eV    1.464E-02  1.141E-01       5 A         5 A         3 A   
13.9999 eV    1.519E-02  1.173E-01       6 A         5 A         4 A   
14.9999 eV    1.573E-02  1.202E-01       6 A         5 A         4 A   
15.9999 eV    1.624E-02  1.230E-01       6 A         5 A         4 A   
16.9999 eV    1.674E-02  1.257E-01       6 A         6 A         4 A   
17.9999 eV    1.723E-02  1.282E-01       7 A         6 A         4 A   
19.9999 eV    1.816E-02  1.328E-01       7 A         6 A         4 A   
22.4999 eV    1.926E-02  1.380E-01       8 A         6 A         5 A   
24.9999 eV    2.030E-02  1.428E-01       8 A         7 A         5 A   
27.4999 eV    2.129E-02  1.470E-01       9 A         7 A         5 A   
29.9999 eV    2.224E-02  1.509E-01       9 A         8 A         6 A   
32.4999 eV    2.315E-02  1.545E-01       9 A         8 A         6 A   
34.9999 eV    2.402E-02  1.578E-01      10 A         8 A         6 A   
37.4999 eV    2.486E-02  1.609E-01      10 A         9 A         6 A   
39.9999 eV    2.568E-02  1.638E-01      11 A         9 A         6 A   
44.9999 eV    2.724E-02  1.689E-01      12 A        10 A         7 A   
