 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Januar 12, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in  H- C- O

 Ion = Beryllium [4] , Mass = 9.012 amu

 Target Density =  1.3100E+00 g/cm3 = 1.0642E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    1.368E-02  1.674E-01       4 A         3 A         2 A   
10.9999 eV    1.435E-02  1.752E-01       5 A         3 A         2 A   
11.9999 eV    1.499E-02  1.826E-01       5 A         3 A         2 A   
12.9999 eV    1.560E-02  1.895E-01       5 A         4 A         3 A   
13.9999 eV    1.619E-02  1.962E-01       5 A         4 A         3 A   
14.9999 eV    1.676E-02  2.024E-01       5 A         4 A         3 A   
15.9999 eV    1.731E-02  2.085E-01       5 A         4 A         3 A   
16.9999 eV    1.784E-02  2.142E-01       6 A         4 A         3 A   
17.9999 eV    1.836E-02  2.197E-01       6 A         4 A         3 A   
19.9999 eV    1.935E-02  2.301E-01       6 A         4 A         3 A   
22.4999 eV    2.052E-02  2.421E-01       6 A         5 A         3 A   
24.9999 eV    2.163E-02  2.532E-01       7 A         5 A         3 A   
27.4999 eV    2.269E-02  2.634E-01       7 A         5 A         4 A   
29.9999 eV    2.370E-02  2.730E-01       8 A         5 A         4 A   
32.4999 eV    2.467E-02  2.819E-01       8 A         6 A         4 A   
34.9999 eV    2.560E-02  2.903E-01       8 A         6 A         4 A   
37.4999 eV    2.650E-02  2.983E-01       9 A         6 A         4 A   
39.9999 eV    2.737E-02  3.058E-01       9 A         6 A         4 A   
