 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Boron in  H- O

 Ion = Boron [5] , Mass = 11.009 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    1.417E-02  1.954E-01       6 A         4 A         3 A   
10.9999 eV    1.486E-02  2.050E-01       6 A         4 A         3 A   
11.9999 eV    1.552E-02  2.140E-01       6 A         4 A         3 A   
12.9999 eV    1.616E-02  2.226E-01       6 A         4 A         3 A   
13.9999 eV    1.677E-02  2.308E-01       7 A         4 A         3 A   
14.9999 eV    1.735E-02  2.386E-01       7 A         4 A         3 A   
15.9999 eV    1.792E-02  2.461E-01       7 A         5 A         3 A   
16.9999 eV    1.847E-02  2.533E-01       7 A         5 A         3 A   
17.9999 eV    1.901E-02  2.602E-01       7 A         5 A         3 A   
19.9999 eV    2.004E-02  2.733E-01       8 A         5 A         4 A   
22.4999 eV    2.125E-02  2.885E-01       8 A         5 A         4 A   
24.9999 eV    2.240E-02  3.026E-01       9 A         6 A         4 A   
27.4999 eV    2.350E-02  3.157E-01       9 A         6 A         4 A   
29.9999 eV    2.454E-02  3.279E-01      10 A         6 A         4 A   
32.4999 eV    2.554E-02  3.395E-01      10 A         6 A         5 A   
34.9999 eV    2.651E-02  3.504E-01      10 A         7 A         5 A   
37.4999 eV    2.744E-02  3.607E-01      11 A         7 A         5 A   
39.9999 eV    2.834E-02  3.706E-01      11 A         7 A         5 A   
44.9999 eV    3.006E-02  3.889E-01      12 A         7 A         5 A   
