 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in  H- O

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    1.017E-02  1.223E-01       6 A         5 A         3 A   
10.9999 eV    1.066E-02  1.268E-01       6 A         5 A         4 A   
11.9999 eV    1.114E-02  1.310E-01       7 A         5 A         4 A   
12.9999 eV    1.159E-02  1.349E-01       7 A         6 A         4 A   
13.9999 eV    1.203E-02  1.385E-01       7 A         6 A         4 A   
14.9999 eV    1.245E-02  1.419E-01       8 A         6 A         4 A   
15.9999 eV    1.286E-02  1.451E-01       8 A         6 A         4 A   
16.9999 eV    1.326E-02  1.482E-01       8 A         7 A         5 A   
17.9999 eV    1.364E-02  1.511E-01       8 A         7 A         5 A   
19.9999 eV    1.438E-02  1.564E-01       9 A         7 A         5 A   
22.4999 eV    1.525E-02  1.624E-01      10 A         8 A         5 A   
24.9999 eV    1.607E-02  1.678E-01      10 A         8 A         6 A   
27.4999 eV    1.686E-02  1.727E-01      11 A         8 A         6 A   
29.9999 eV    1.761E-02  1.771E-01      11 A         9 A         6 A   
32.4999 eV    1.833E-02  1.812E-01      12 A         9 A         7 A   
34.9999 eV    1.902E-02  1.850E-01      13 A        10 A         7 A   
37.4999 eV    1.969E-02  1.885E-01      13 A        10 A         7 A   
39.9999 eV    2.033E-02  1.917E-01      14 A        11 A         8 A   
44.9999 eV    2.157E-02  1.975E-01      15 A        11 A         8 A   
