 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Lithium in  H- O

 Ion = Lithium [3] , Mass = 7.016 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    7.212E-03  1.580E-01       6 A         4 A         3 A   
10.9999 eV    7.564E-03  1.649E-01       6 A         5 A         3 A   
11.9999 eV    7.901E-03  1.713E-01       6 A         5 A         3 A   
12.9999 eV    8.223E-03  1.773E-01       7 A         5 A         4 A   
13.9999 eV    8.534E-03  1.830E-01       7 A         5 A         4 A   
14.9999 eV    8.833E-03  1.885E-01       7 A         5 A         4 A   
15.9999 eV    9.123E-03  1.936E-01       7 A         6 A         4 A   
16.9999 eV    9.404E-03  1.985E-01       8 A         6 A         4 A   
17.9999 eV    9.676E-03  2.032E-01       8 A         6 A         4 A   
19.9999 eV    1.020E-02  2.120E-01       8 A         6 A         4 A   
22.4999 eV    1.082E-02  2.221E-01       9 A         7 A         5 A   
24.9999 eV    1.140E-02  2.313E-01       9 A         7 A         5 A   
27.4999 eV    1.196E-02  2.398E-01      10 A         7 A         5 A   
29.9999 eV    1.249E-02  2.476E-01      11 A         8 A         5 A   
32.4999 eV    1.300E-02  2.549E-01      11 A         8 A         6 A   
34.9999 eV    1.349E-02  2.617E-01      11 A         8 A         6 A   
37.4999 eV    1.397E-02  2.681E-01      12 A         8 A         6 A   
39.9999 eV    1.442E-02  2.742E-01      12 A         9 A         6 A   
44.9999 eV    1.530E-02  2.853E-01      13 A         9 A         7 A   
