 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Oxygen in  H- O

 Ion = Oxygen [8] , Mass = 15.995 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    1.521E-02  2.239E-01       6 A         3 A         2 A   
10.9999 eV    1.595E-02  2.358E-01       6 A         4 A         3 A   
11.9999 eV    1.666E-02  2.471E-01       6 A         4 A         3 A   
12.9999 eV    1.734E-02  2.579E-01       6 A         4 A         3 A   
13.9999 eV    1.800E-02  2.683E-01       7 A         4 A         3 A   
14.9999 eV    1.863E-02  2.782E-01       7 A         4 A         3 A   
15.9999 eV    1.924E-02  2.877E-01       7 A         4 A         3 A   
16.9999 eV    1.983E-02  2.970E-01       7 A         4 A         3 A   
17.9999 eV    2.041E-02  3.059E-01       7 A         4 A         3 A   
19.9999 eV    2.151E-02  3.228E-01       8 A         5 A         3 A   
22.4999 eV    2.282E-02  3.427E-01       8 A         5 A         3 A   
24.9999 eV    2.405E-02  3.612E-01       9 A         5 A         4 A   
27.4999 eV    2.523E-02  3.787E-01       9 A         5 A         4 A   
29.9999 eV    2.635E-02  3.951E-01       9 A         5 A         4 A   
32.4999 eV    2.742E-02  4.108E-01      10 A         6 A         4 A   
34.9999 eV    2.846E-02  4.256E-01      10 A         6 A         4 A   
37.4999 eV    2.946E-02  4.398E-01      10 A         6 A         4 A   
39.9999 eV    3.042E-02  4.534E-01      11 A         6 A         4 A   
44.9999 eV    3.227E-02  4.789E-01      11 A         7 A         5 A   
