 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in  H- O

 Ion = Beryllium [4] , Mass = 9.012 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    9.591E-03  1.795E-01       6 A         4 A         3 A   
10.9999 eV    1.006E-02  1.879E-01       6 A         4 A         3 A   
11.9999 eV    1.051E-02  1.958E-01       6 A         4 A         3 A   
12.9999 eV    1.093E-02  2.033E-01       6 A         5 A         3 A   
13.9999 eV    1.135E-02  2.104E-01       7 A         5 A         3 A   
14.9999 eV    1.175E-02  2.171E-01       7 A         5 A         3 A   
15.9999 eV    1.213E-02  2.236E-01       7 A         5 A         4 A   
16.9999 eV    1.250E-02  2.298E-01       7 A         5 A         4 A   
17.9999 eV    1.287E-02  2.357E-01       8 A         5 A         4 A   
19.9999 eV    1.356E-02  2.469E-01       8 A         6 A         4 A   
22.4999 eV    1.439E-02  2.597E-01       8 A         6 A         4 A   
24.9999 eV    1.516E-02  2.716E-01       9 A         6 A         4 A   
27.4999 eV    1.590E-02  2.826E-01       9 A         6 A         5 A   
29.9999 eV    1.661E-02  2.929E-01      10 A         7 A         5 A   
32.4999 eV    1.729E-02  3.025E-01      10 A         7 A         5 A   
34.9999 eV    1.794E-02  3.115E-01      11 A         7 A         5 A   
37.4999 eV    1.857E-02  3.200E-01      11 A         8 A         5 A   
39.9999 eV    1.918E-02  3.281E-01      12 A         8 A         6 A   
44.9999 eV    2.034E-02  3.431E-01      12 A         8 A         6 A   
