 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Januar 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Oxygen in  H- C- O

 Ion = Oxygen [8] , Mass = 15.995 amu

 Target Density =  1.3000E+00 g/cm3 = 1.0561E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = -5.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    2.062E-02  2.191E-01       4 A         3 A         2 A   
10.9999 eV    2.163E-02  2.307E-01       5 A         3 A         2 A   
11.9999 eV    2.259E-02  2.417E-01       5 A         3 A         2 A   
12.9999 eV    2.351E-02  2.522E-01       5 A         3 A         2 A   
13.9999 eV    2.440E-02  2.622E-01       5 A         3 A         2 A   
14.9999 eV    2.525E-02  2.719E-01       5 A         3 A         2 A   
15.9999 eV    2.608E-02  2.812E-01       5 A         3 A         2 A   
16.9999 eV    2.689E-02  2.901E-01       5 A         3 A         2 A   
17.9999 eV    2.766E-02  2.988E-01       6 A         3 A         2 A   
19.9999 eV    2.916E-02  3.153E-01       6 A         3 A         3 A   
22.4999 eV    3.093E-02  3.345E-01       6 A         4 A         3 A   
24.9999 eV    3.260E-02  3.525E-01       7 A         4 A         3 A   
27.4999 eV    3.419E-02  3.694E-01       7 A         4 A         3 A   
29.9999 eV    3.572E-02  3.854E-01       7 A         4 A         3 A   
32.4999 eV    3.717E-02  4.005E-01       7 A         4 A         3 A   
34.9999 eV    3.858E-02  4.149E-01       8 A         4 A         3 A   
37.4999 eV    3.993E-02  4.286E-01       8 A         5 A         3 A   
39.9999 eV    4.124E-02  4.417E-01       8 A         5 A         3 A   
