 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Nitrogen in  H- O

 Ion = Nitrogen [7] , Mass = 14.003 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    1.611E-02  2.167E-01       6 A         3 A         3 A   
10.9999 eV    1.690E-02  2.279E-01       6 A         4 A         3 A   
11.9999 eV    1.765E-02  2.386E-01       6 A         4 A         3 A   
12.9999 eV    1.837E-02  2.487E-01       6 A         4 A         3 A   
13.9999 eV    1.906E-02  2.585E-01       7 A         4 A         3 A   
14.9999 eV    1.973E-02  2.678E-01       7 A         4 A         3 A   
15.9999 eV    2.038E-02  2.768E-01       7 A         4 A         3 A   
16.9999 eV    2.101E-02  2.854E-01       7 A         4 A         3 A   
17.9999 eV    2.162E-02  2.938E-01       7 A         4 A         3 A   
19.9999 eV    2.278E-02  3.096E-01       8 A         5 A         3 A   
22.4999 eV    2.417E-02  3.281E-01       8 A         5 A         4 A   
24.9999 eV    2.547E-02  3.454E-01       8 A         5 A         4 A   
27.4999 eV    2.672E-02  3.615E-01       9 A         5 A         4 A   
29.9999 eV    2.791E-02  3.768E-01       9 A         6 A         4 A   
32.4999 eV    2.904E-02  3.912E-01      10 A         6 A         4 A   
34.9999 eV    3.014E-02  4.049E-01      10 A         6 A         4 A   
37.4999 eV    3.120E-02  4.180E-01      10 A         6 A         4 A   
39.9999 eV    3.222E-02  4.304E-01      11 A         6 A         5 A   
44.9999 eV    3.418E-02  4.538E-01      11 A         7 A         5 A   
