 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Water_Liquid

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    1.447E-02  5.300E-02       7 A         7 A         5 A   
10.9999 eV    1.518E-02  5.411E-02       8 A         8 A         6 A   
11.9999 eV    1.586E-02  5.510E-02       8 A         8 A         6 A   
12.9999 eV    1.650E-02  5.598E-02       8 A         9 A         6 A   
13.9999 eV    1.713E-02  5.678E-02       9 A         9 A         7 A   
14.9999 eV    1.773E-02  5.750E-02       9 A         9 A         7 A   
15.9999 eV    1.831E-02  5.815E-02      10 A        10 A         7 A   
16.9999 eV    1.887E-02  5.874E-02      10 A        10 A         8 A   
17.9999 eV    1.942E-02  5.929E-02      11 A        11 A         8 A   
19.9999 eV    2.047E-02  6.024E-02      11 A        11 A         8 A   
22.4999 eV    2.171E-02  6.122E-02      12 A        12 A         9 A   
24.9999 eV    2.289E-02  6.202E-02      13 A        13 A        10 A   
27.4999 eV    2.400E-02  6.267E-02      14 A        14 A        11 A   
29.9999 eV    2.507E-02  6.321E-02      15 A        15 A        11 A   
32.4999 eV    2.609E-02  6.365E-02      16 A        16 A        12 A   
34.9999 eV    2.708E-02  6.402E-02      17 A        17 A        13 A   
37.4999 eV    2.803E-02  6.431E-02      18 A        18 A        13 A   
39.9999 eV    2.895E-02  6.455E-02      19 A        19 A        14 A   
44.9999 eV    3.071E-02  6.488E-02      21 A        20 A        15 A   
